on,is
fiksu,smart
katosi,disappeared
tavataan,found
kannattaa,worth to
avatkaa,open your
kuolleita,dead
kuvaa,pictures
aikaisin,early
pistä,Injecting
vesi,water
tyytyväinen,pleased
lee,lee
tietävän,to know
lukenut,read
lue,read
yritämme,we try to
vieläkään,even now
tosin,indeed
kokeilla,try out
ottamaan,to take
pakoon,escape
eniten,the most
sovi,fit
perkele,Devil
jatkuvasti,continually
kasvaa,grow
kahdesti,twice
walter,walter
saisin,I would get
söpö,cute
tältä,from this
kokeile,try
satuttaa,hurt
liikkuu,travels
tahdot,thou wilt
ihmisille,people
löytyi,found
mark,mark
sopimuksen,agreement
kannata,booze
kristus,Christ
pirun,damn
jätin,I left the
valitan,sorry
armeija,army
sinussa,in you
upeaa,fantastic
minnekään,nowhere
lopussa,at the end
toiselle,another
teetä,tea
kouluun,to school
ssa,in
ryhmä,group
vaimonsa,his wife
avata,open
muutkin,other
yrittävät,trying to
ssä,in
oon,oon
kerroit,letting
aiheuttaa,cause
eivätkä,and
homman,finish the job
suojella,protect
merkki,make
ammun,shoot
pyhä,holy
lähtemään,to leave
ostin,I bought
palveluksen,a favor
sta,from
taistella,fight
tytär,daughter
ensimmäisenä,first
luin,I read
asun,I live in
tutustua,meet
kadonnut,lost
erossa,away from
kenties,perhaps
poikaa,sons
kyseessä,at issue
työni,my work
saapuu,arrives
kevin,kevin
emmekä,we do not
kaipaa,misses
kamalaa,horrible
näette,you can see
laulaa,to sing
maksa,liver
pudota,drop
sheriffi,sheriff
murhaaja,murderer
asetta,placing
ellen,view
äsken,but now
tapaan,in the manner of
sanat,lyrics
puolestani,for me
huolimatta,despite
komea,handsome
muun,other
pääsit,did you get
saatan,I might
joista,which
tarjota,offer
keino,means
prosenttia,per cent of
minuutissa,per minute
tainnut,I guess
autoni,my car
niissä,they
muuttuu,changes to
ruumiin,the body
tarinan,story
kamaa,stuff
korjata,fix
will,will
meiltä,us
teitte,you did
typerys,fool
katsomassa,watching
löydät,you will find
pystyy,is able to
huolehtia,worry
joudut,you have to
larry,larry
kysymyksiä,issues
sankari,hero
haisee,stinks
tavoin,like
nousee,rises
juoda,drink
päiväys,date
paikasta,from
puhumme,we are talking about
kuulit,you heard
muistakaa,remember
huumeita,drugs
esimerkiksi,for example
apuasi,your help
william,william
suurta,great
haluaisit,would you like
uskoo,believes
elämänsä,his life
kelpaa,is good enough
lähelle,close
kumpi,which
